,locus_tag,Hydra_tpm,Hydra.1_tpm,Hydra.2_tpm,Hydra.3_tpm,Hydra.4_tpm,Liquid_tpm,Liquid.1_tpm,Liquid.2_tpm,Liquid.3_tpm,Liquid.4_tpm
0,AEP_RS00005,80.60828072563092,127.84250387201182,210.13775138126164,157.380023205226,155.34190944320983,455.55966413696626,385.89873680271234,375.5018946552092,465.12082493654185,542.0395950503026
1,AEP_RS00010,63.04887454417038,32.49797567360534,78.8938224484035,71.39622982541175,53.4612360861573,16.218102496740254,12.55866100443207,12.694621604990479,21.88719329058823,25.508821809859626
2,AEP_RS00015,343.0431946789634,223.4519900774297,281.0592424724374,267.9037213198052,217.2138858748519,294.26954157142814,344.7031343588649,655.0875444800117,385.18062469894755,408.5687548176608
3,AEP_RS00020,32.67078044561556,58.29182349845993,17.033893483178026,76.54392037708719,56.664491967352674,12.597079612247935,11.4623729312146,14.401805790707327,17.277047373003978,24.702018300601456
4,AEP_RS00025,199.42395462757244,59.302664368375424,103.975673515815,97.33908949687388,38.43140881022763,82.53915747713899,71.94172531506311,73.95071906404756,130.9743870961868,179.0539361211227
5,AEP_RS00030,72.99085504351913,50.6456463681965,38.055976413757406,40.37718789990214,42.198662565249954,18.959172006195438,18.72446597762997,18.76906706715595,43.57975824010831,45.451476460195
6,AEP_RS00035,21.72565752554788,51.684437963370016,56.63662316824935,16.966914340513032,46.05476761074508,10.954406762210565,10.695855264651701,9.188761921880936,15.843727687634916,19.484661844056607
7,AEP_RS00040,139.1142909297179,91.92975748861065,128.94474206620785,117.6965657411126,119.15114201020396,65.4339619230083,66.47619681231639,74.4909443368233,78.18118627409292,77.0843124274088
8,AEP_RS00045,385.04848382332625,167.93596769794408,200.75660176602673,120.28330344970846,237.45120443462073,526.5856136812213,309.8406176095486,341.7648603904823,271.60593309714955,357.71938735844395
9,AEP_RS00050,126.83950055356632,226.30943240578563,132.26317292820585,123.82104766881754,232.21331021915117,205.37229793180686,155.03566272048897,171.13878757176775,233.14178822223494,240.26500027925437
10,AEP_RS00055,105.18397606881109,271.0806751310494,164.52248339849996,225.89791135676955,152.02668576606817,174.13749077493955,135.11351003576488,169.48941251252333,179.43117649382575,166.8828361423872
11,AEP_RS00060,445.4269784698009,192.66405513106005,211.1243135943192,395.2972413840184,296.5353069465217,252.21455171651337,175.98205637964736,276.9181629616325,278.7248514859724,285.48337961672036
12,AEP_RS00065,535.350167853673,365.5634356409165,372.16120382557233,441.3152926568614,435.6001405490284,531.8440232685091,447.3461976812269,677.4995997543109,625.3176500809827,554.7678223008446
13,AEP_RS00070,91.75623444300543,200.09391895925256,263.1192908252606,394.11976023947034,300.6031205076582,808.151107431906,825.8336813372619,575.0121792181664,662.4923539343579,624.9364616289104
14,AEP_RS00075,276.81863972163455,548.783383386402,448.1755488074002,571.7520538977697,628.9248117457522,729.4259071940322,673.1645759483692,616.6397725928038,588.161454259398,603.8748576766787
15,AEP_RS00080,634.9756592129455,681.8593668940508,634.5386578518834,568.2094702838989,795.3886970632083,517.9129664082303,480.28998535131706,544.0544216396007,571.6093856568492,549.6868131901756
